update_index,emission_ms,gap_from_previous_ms,text,is_confirmed,confidence
0,353.47509384155273,353.47509384155273,"[BLANK_AUDIO]",0,0.8632147
1,1863.6730909347534,1510.1979970932007,"Thank you.",0,0.6536747
2,2285.325050354004,421.6519594192505,"Starts playing.",0,0.44246325
3,2662.18101978302,376.8559694290161,"Start speaking",0,0.5049417
4,3047.506093978882,385.3250741958618,"Start speaking continuously.",0,0.6156065
5,3783.048987388611,735.542893409729,"Start speaking continuously",0,0.66744566
6,4240.17608165741,457.1270942687988,"Start speaking continuously and",0,0.67371786
7,4725.790023803711,485.61394214630127,"Start speaking continuously and utter",0,0.6355543
8,5144.681096076965,418.8910722732544,"Start speaking continuously and at around",0,0.7383583
9,5929.375052452087,784.6939563751221,"picking continuously and at around 5",0,0.6330174
10,6310.682058334351,381.3070058822632,"continuously and at around 5 seconds",0,0.7378794
11,6701.0380029678345,390.3559446334839,"continuously and at around so five seconds",0,0.7531816
12,7091.08304977417,390.04504680633545,"and at around so five seconds",0,0.63684094
13,7498.667001724243,407.58395195007324,"and at around so five seconds 30",0,0.66752046
14,7924.126029014587,425.45902729034424,"and at around so 5 seconds start typing",0,0.5764282
15,8335.528016090393,411.40198707580566,"around so 5 seconds start typing around",0,0.57729197
16,8757.997989654541,422.46997356414795,"So 5 seconds, start typing rapidly.",0,0.66827756
17,9189.743995666504,431.7460060119629,"So 5 seconds, start typing rapidly on it.",0,0.5955764
18,9598.059058189392,408.3150625228882,"5 seconds, start typing rapidly on the keyboard",0,0.6241113
19,10019.777059555054,421.7180013656616,"Start typing rocketly on the keyboard",0,0.6248854
20,10447.365045547485,427.58798599243164,"and start typing rapidly on the keyboard",0,0.7545301
21,10875.018000602722,427.6529550552368,"Start typing rapidly on the keyboard while",0,0.69510883
22,11290.82703590393,415.8090353012085,"type in rapidly on the keyboard while still",0,0.6883113
23,11703.895092010498,413.0680561065674,"and rapidly on the keyboard while still speaking",0,0.67568314
24,12114.060044288635,410.1649522781372,"rapidly on the keyboard while still speaking",0,0.79892313
25,12542.420029640198,428.3599853515625,"I'm currently on the keyboard while still speaking.",0,0.6891942
26,12927.860021591187,385.43999195098877,"keyboard while still speaking",0,0.72028965
27,13318.25304031372,390.3930187225342,"keyboard while still speaking.",0,0.8183157
28,13710.29806137085,392.0450210571289,"while still speaking.",0,0.7490539
29,14104.133009910583,393.8349485397339,"while still speaking and then",0,0.8427796
30,14495.298027992249,391.16501808166504,"still speaking and then around",0,0.79155165
31,14891.40498638153,396.1069583892822,"still speaking and then around the",0,0.72215736
32,15295.523047447205,404.1180610656738,"and then around the 12th",0,0.5510308
33,15686.22100353241,390.6979560852051,"and then around the toes",0,0.70763755
34,16092.616081237793,406.3950777053833,"and then around the 12 seconds",0,0.65363175
35,16906.679034233093,814.0629529953003,"and then around the 12-second smoke",0,0.5136909
36,17336.590051651,429.9110174179077,"and then around the 12 seconds make some noise",0,0.68141305
37,17739.655017852783,403.0649662017822,"and around the 12 seconds make some noise",0,0.60501045
38,18159.614086151123,419.95906829833984,"around the 12 seconds make some noise",0,0.68893874
39,18582.21209049225,422.5980043411255,"The 12 seconds make some noise.",0,0.55123353
40,19152.66001224518,570.4479217529297,"I'll set this to make some noise.",0,0.8123894
41,19514.3780708313,361.7180585861206,"some noise and then",0,0.71598494
42,19927.921056747437,413.5429859161377,"Make some noise and then",0,0.70968777
43,20352.560997009277,424.6399402618408,"some noise and then so",0,0.78449696
44,20779.486060142517,426.92506313323975,"some noise and then so represent",0,0.6393773
45,21183.045029640198,403.55896949768066,"noise and then so reproduce",0,0.7841525
46,21581.820011138916,398.77498149871826,"and then so reproduce",0,0.7022892
47,22352.591037750244,770.7710266113281,"and then so reproduce the",0,0.5840011
48,22744.922041893005,392.33100414276123,"and then so reproduce the sound",0,0.7711061
49,23117.06304550171,372.1410036087036,"so reproduce the sound",0,0.649905
50,23505.643010139465,388.57996463775635,"so reproduce the sound that",0,0.68071705
51,23897.94409275055,392.301082611084,"reproduce the sound that can be",0,0.75919765
52,24310.366988182068,412.42289543151855,"produce the sound that can be",0,0.8552947
53,24726.22001171112,415.85302352905273,"use the sound that can be",0,0.8717337
54,25137.733101844788,411.513090133667,"the sound that can be",0,0.8387776
55,25546.475052833557,408.74195098876953,"the sound that can be as",0,0.75370514
56,25958.132028579712,411.6569757461548,"sound that can be selected.",0,0.8192603
57,26360.594987869263,402.4629592895508,"that can be like a note",0,0.5874337
58,26752.966046333313,392.3710584640503,"that can be as like an old",0,0.7062626
59,27166.750073432922,413.7840270996094,"It can be as a like a node.",0,0.6330894
60,27545.306086540222,378.5560131072998,"be like an old",0,0.57843125
61,27967.509031295776,422.2029447555542,"That's a like a note.",0,0.6385495
62,28828.373074531555,860.8640432357788,"That's a like an old",0,0.5888087
63,29220.50905227661,392.13597774505615,"like an old",0,0.61064327
64,29621.35601043701,400.8469581604004,"I can know it.",0,0.5222966
65,29998.332023620605,376.97601318359375,"node.",0,0.5413751
66,30369.466066360474,371.13404273986816,"and then",0,0.48185024
67,30739.201068878174,369.7350025177002,"And then...",0,0.6915556
68,32622.298002243042,1883.0969333648682,"and then",0,0.72102815
69,33393.290996551514,770.9929943084717,"And then...",0,0.696759
70,33767.059087753296,373.7680912017822,"And...",0,0.6245998
71,34150.38502216339,383.3259344100952,"Thanks.",0,0.5876036
72,34549.320101737976,398.93507957458496,"[BLANK_AUDIO]",0,0.71649486
73,34922.40607738495,373.08597564697266,"you",0,0.6186415
74,35318.14908981323,395.7430124282837,"[BLANK_AUDIO]",0,0.74327844
75,35679.381012916565,361.2319231033325,"you",0,0.5859431
76,36061.40899658203,382.0279836654663,"[BLANK_AUDIO]",0,0.7358248
77,36415.81308841705,354.404091835022,"you",0,0.56456995
78,36777.24504470825,361.43195629119873,"And",0,0.4052762
79,37151.98504924774,374.74000453948975,"And then",0,0.6590667
80,37537.77301311493,385.7879638671875,"and then continue",0,0.7393402
81,37932.908058166504,395.1350450515747,"and then continues.",0,0.7078825
82,38375.946044921875,443.0379867553711,"and then continue speaking",0,0.750627
83,38770.58207988739,394.63603496551514,"and then continue speaking for",0,0.73779064
84,39168.55204105377,397.96996116638184,"and then continue speaking for another",0,0.76976883
85,39588.147044181824,419.59500312805176,"and then continue speaking for another 5 seconds.",0,0.7746583
86,40003.70907783508,415.5620336532593,"and then continue speaking for another 5 seconds",0,0.83400774
87,40437.99901008606,434.28993225097656,"and then continue speaking for another 5 seconds.",0,0.8468498
88,40879.62007522583,441.6210651397705,"continue speaking for another 5 seconds till",0,0.691628
89,41312.62707710266,433.00700187683105,"you speaking for another five seconds till it's",0,0.66589195
90,41741.07205867767,428.4449815750122,"Speaking for another 5 seconds, still it's over.",0,0.7940833
91,42167.809009552,426.7369508743286,"for another 5 seconds, till it's over.",0,0.75806445
92,42595.234990119934,427.42598056793213,"another 5 seconds, still it's over.",0,0.77538764
93,43010.61308383942,415.3780937194824,"5 seconds, still it's over.",0,0.74162114
94,43840.43109416962,829.8180103302002,"and still it's over.",0,0.79320234
95,44249.71103668213,409.2799425125122,"still it's over",0,0.68636286
96,44651.167035102844,401.45599842071533,"Let's over.",0,0.6115331
97,45045.84503173828,394.677996635437,"it's over.",1,0.7660681
